     1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8   Elo    AED
 31  · · · · · · · · · · · · · · · · · · · · · · · · · · · 6 2 3 * 1 4 5 7 8 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1893    8.5
 32  · · · · · · · · · · · · · · · · · · · · · · · · 8 · · · 3 2 1 * 5 4 6 · 7 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1889   13.5
 33  · · · · · · · · · · · · · · · · · · · · · · · · · · 7 · · 6 4 5 * 1 2 3 8 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1886   10.9
 34  · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 8 · 5 4 1 * 3 2 6 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1885    9.1
 35  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 6 2 3 * 1 4 5 8 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1880   13.0
 36  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 · 3 2 1 * 5 4 6 · 7 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1878   17.3
 37  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 8 6 4 5 * 1 2 3 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1871   16.3
 38  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 5 4 1 * 3 2 6 7 8 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1852   17.9
 39  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 6 2 3 * 1 4 5 7 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1848   17.4
 40  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 3 2 1 * 5 4 6 8 7 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1846   15.3
 41  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 · 6 4 5 * 1 2 3 8 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1835   14.8
 42  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 5 4 1 * 3 2 6 · 8 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1833   13.5
 43  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 7 6 2 3 * 1 4 5 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1828   13.8
 44  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 3 2 1 * 5 4 6 · 7 · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1827   15.9
 45  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 8 6 4 5 * 1 2 3 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1818   16.8
 46  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 5 4 1 * 3 2 6 7 8 · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1803   13.6
 47  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 · 6 2 3 * 1 4 5 7 · · · · · · · · · · · · · · · · · · · · · · · · · · ·  1800   13.9
 48  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 3 2 1 * 5 4 6 8 7 · · · · · · · · · · · · · · · · · · · · · · · · ·  1796    9.8
 49  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 · 6 4 5 * 1 2 3 8 · · · · · · · · · · · · · · · · · · · · · · · · ·  1794   10.6
 50  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 5 4 1 * 3 2 6 8 · · · · · · · · · · · · · · · · · · · · · · · ·  1793    9.6
 51  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 7 6 2 3 * 1 4 5 · · · · · · · · · · · · · · · · · · · · · · · ·  1787   10.4
 52  · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 8 3 2 1 * 5 4 6 7 · · · · · · · · · · · · · · · · · · · · · ·  1783   12.5
